model,file_name,item_number,formula
EleutherAI/pythia-70m,number_orc.json,18,(12.663081169128418 < 13.411860466003418) & (13.345577239990234 < 12.534053802490234)
EleutherAI/pythia-70m,number_orc.json,19,(7.316722393035889 < 5.532176494598389) & (8.164801597595215 < 6.079718112945557)
EleutherAI/pythia-70m,npz_obj.json,22,(7.318808555603027 > 7.181278228759766 ) &  (7.318808555603027 > 7.43502140045166 ) & ((7.318808555603027 - 7.181278228759766 ) > (7.43502140045166 - 6.298617362976074 ))
EleutherAI/pythia-70m,reflexive_orc_masc.json,1,( 6.2323408126831055 < 5.4243574142456055 ) & ( 7.774600982666016 < 5.404483795166016 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,3,( 9.054688453674316 < 7.468384742736816 ) & ( 8.002567291259766 < 7.982303619384766 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,5,( 3.187260627746582 < 2.792241096496582 ) & ( 7.42278528213501 < 7.70696496963501 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,6,( 5.713324069976807 < 5.293035984039307 ) & ( 4.201098918914795 < 5.401050090789795 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,7,( 7.497166633605957 < 7.642918586730957 ) & ( 3.793506622314453 < 2.565723419189453 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,8,( 7.330414295196533 < 5.735809803009033 ) & ( 6.147830486297607 < 7.104251384735107 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,10,( 7.4691877365112305 < 7.4447736740112305 ) & ( 6.405740737915039 < 6.537698745727539 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,11,( 6.04973030090332 < 4.03874397277832 ) & ( 6.335282802581787 < 6.201493740081787 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,13,( 6.830425262451172 < 5.606426239013672 ) & ( 4.811266899108887 < 5.360217094421387 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,14,( 6.08521842956543 < 7.30348014831543 ) & ( 3.3160243034362793 < 3.2833094596862793 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,15,( 7.406370162963867 < 6.059690475463867 ) & ( 6.447859764099121 < 6.290144920349121 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,16,( 5.266256332397461 < 6.999410629272461 ) & ( 6.649221897125244 < 6.601858615875244 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,18,( 6.176732063293457 < 5.414158821105957 ) & ( 5.61528205871582 < 6.04167366027832 )
EleutherAI/pythia-70m,reflexive_orc_masc.json,19,( 5.096767425537109 < 2.7124898433685303 ) & ( 6.4913835525512695 < 7.8873796463012695 )
EleutherAI/pythia-70m,number_prep.json,3,(13.194828033447266 < 12.847049713134766) & (13.31176471710205 < 13.33532428741455)
EleutherAI/pythia-70m,number_prep.json,5,(11.416706085205078 < 6.97932767868042) & (7.417884349822998 < 12.153236389160156)
EleutherAI/pythia-70m,number_prep.json,15,(11.477518081665039 < 10.343729019165039) & (11.03706169128418 < 12.55085563659668)
EleutherAI/pythia-70m,number_prep.json,17,(12.794828414916992 < 8.818510055541992) & (9.140487670898438 < 13.025985717773438)
EleutherAI/pythia-70m,fgd_object.json,11,(8.250011444091797 > 8.569646120071411 ) & (8.191146850585938 < 7.766664981842041 ) 
EleutherAI/pythia-70m,fgd_object.json,12,(19.503104209899902 > 18.49923062324524 ) & (6.323030591011047 < 5.917350385338068 ) 
EleutherAI/pythia-70m,fgd_object.json,16,(13.51527452468872 > 11.859295845031738 ) & (3.8945586681365967 < 3.6714670658111572 ) 
EleutherAI/pythia-70m,npz_ambig_mod.json,1,(10.239129066467285 > 7.892117500305176 ) &  (10.239129066467285 > 11.946290016174316 )  & ((10.239129066467285 - 7.892117500305176 ) > (11.946290016174316 - 8.067510604858398 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,2,(10.575660228729248 > 8.862210035324097 ) &  (10.575660228729248 > 11.22475004196167 )  & ((10.575660228729248 - 8.862210035324097 ) > (11.22475004196167 - 8.38953161239624 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,4,(11.312253952026367 > 8.70956802368164 ) &  (11.312253952026367 > 11.040926933288574 )  & ((11.312253952026367 - 8.70956802368164 ) > (11.040926933288574 - 8.376365661621094 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,9,(11.71442699432373 > 8.58390998840332 ) &  (11.71442699432373 > 12.018627166748047 )  & ((11.71442699432373 - 8.58390998840332 ) > (12.018627166748047 - 8.490561485290527 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,11,(9.964588165283203 > 7.843337535858154 ) &  (9.964588165283203 > 10.175958633422852 )  & ((9.964588165283203 - 7.843337535858154 ) > (10.175958633422852 - 7.918938636779785 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,13,(13.511683464050293 > 10.814720153808594 ) &  (13.511683464050293 > 13.372459411621094 )  & ((13.511683464050293 - 10.814720153808594 ) > (13.372459411621094 - 10.54359245300293 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,16,(9.342568397521973 > 7.570355415344238 ) &  (9.342568397521973 > 9.370266914367676 )  & ((9.342568397521973 - 7.570355415344238 ) > (9.370266914367676 - 7.184543609619141 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,19,(9.716176986694336 > 6.228308200836182 ) &  (9.716176986694336 > 11.901178359985352 )  & ((9.716176986694336 - 6.228308200836182 ) > (11.901178359985352 - 6.479864120483398 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,20,(11.004594802856445 > 9.053069114685059 ) &  (11.004594802856445 > 12.559444427490234 )  & ((11.004594802856445 - 9.053069114685059 ) > (12.559444427490234 - 9.530471801757812 ))
EleutherAI/pythia-70m,npz_ambig_mod.json,22,(9.378131866455078 > 8.907573699951172 ) &  (9.378131866455078 > 11.337248802185059 )  & ((9.378131866455078 - 8.907573699951172 ) > (11.337248802185059 - 9.450806617736816 ))
EleutherAI/pythia-70m,center_embed_mod.json,2,( 10.94433307647705 + 12.83834719657898 ) < ( 12.21783047914505 + 11.073927879333496 )
EleutherAI/pythia-70m,center_embed_mod.json,3,( 11.023387908935547 + 12.858906745910645 ) < ( 10.629955291748047 + 10.605456352233887 )
EleutherAI/pythia-70m,center_embed_mod.json,4,( 7.8835015296936035 + 11.651567459106445 ) < ( 7.5175347328186035 + 11.835267066955566 )
EleutherAI/pythia-70m,center_embed_mod.json,5,( 9.186593055725098 + 9.027752876281738 ) < ( 6.880807399749756 + 8.758127212524414 )
EleutherAI/pythia-70m,center_embed_mod.json,7,( 7.712439060211182 + 10.08195686340332 ) < ( 8.41153621673584 + 7.102805137634277 )
EleutherAI/pythia-70m,center_embed_mod.json,19,( 8.217538833618164 + 9.926186561584473 ) < ( 7.355844020843506 + 9.904959678649902 )
EleutherAI/pythia-70m,center_embed_mod.json,23,( 11.00627326965332 + 10.675832748413086 ) < ( 9.61589241027832 + 10.924176216125488 )
EleutherAI/pythia-70m,center_embed_mod.json,28,( 10.68281078338623 + 14.201172828674316 ) < ( 9.64985179901123 + 11.367176055908203 )
EleutherAI/pythia-70m,number_src.json,1,(3.7716727256774902 < 5.11530065536499) & (6.354458808898926 < 4.407925605773926)
EleutherAI/pythia-70m,number_src.json,3,(12.406901359558105 < 12.336466789245605) & (12.46048641204834 < 11.73941707611084)
EleutherAI/pythia-70m,number_src.json,5,(11.120521545410156 < 6.824623107910156) & (7.434711933135986 < 11.305927276611328)
EleutherAI/pythia-70m,number_src.json,11,(3.4804062843322754 < 5.548277378082275) & (6.4189252853393555 < 4.8577680587768555)
EleutherAI/pythia-70m,number_src.json,15,(10.895893096923828 < 10.027606964111328) & (11.08882999420166 < 11.75728702545166)
EleutherAI/pythia-70m,number_src.json,17,(11.973034858703613 < 7.779675483703613) & (8.924342155456543 < 12.176661491394043)
EleutherAI/pythia-70m,reflexive_orc_fem.json,1,( 7.7111005783081055 < 5.4243574142456055 ) & ( 7.774600982666016 < 6.842472076416016 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,2,( 7.260205268859863 < 6.295727729797363 ) & ( 5.76078987121582 < 7.95756721496582 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,3,( 11.07785701751709 < 8.52146053314209 ) & ( 9.529966354370117 < 11.015317916870117 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,4,( 7.848705291748047 < 5.015453338623047 ) & ( 5.41974401473999 < 8.261785507202148 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,5,( 5.218754768371582 < 2.792241096496582 ) & ( 8.098569869995117 < 9.336606979370117 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,6,( 7.155828952789307 < 5.293035984039307 ) & ( 4.201098918914795 < 6.877856731414795 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,7,( 9.758885383605957 < 7.642918586730957 ) & ( 3.793506622314453 < 5.389453887939453 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,8,( 6.981171131134033 < 5.735809803009033 ) & ( 6.147830486297607 < 7.752566814422607 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,9,( 7.289176940917969 < 5.761711120605469 ) & ( 6.2364420890808105 < 9.714713096618652 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,10,( 9.486427307128906 < 7.939918518066406 ) & ( 6.405740737915039 < 6.468118667602539 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,11,( 8.16777229309082 < 4.03874397277832 ) & ( 6.335282802581787 < 9.226639747619629 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,12,( 4.39565372467041 < 2.5420162677764893 ) & ( 8.316282272338867 < 10.374265670776367 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,13,( 8.505962371826172 < 5.606426239013672 ) & ( 4.811266899108887 < 7.392809867858887 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,14,( 7.52174186706543 < 7.30348014831543 ) & ( 3.3160243034362793 < 5.592879772186279 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,15,( 9.030149459838867 < 6.059690475463867 ) & ( 6.447859764099121 < 8.617049217224121 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,16,( 7.970235824584961 < 6.999410629272461 ) & ( 6.649221897125244 < 8.889211654663086 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,17,( 11.007786750793457 < 9.201390266418457 ) & ( 5.4321699142456055 < 9.783122062683105 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,18,( 7.132542610168457 < 5.414158821105957 ) & ( 5.61528205871582 < 7.94035530090332 )
EleutherAI/pythia-70m,reflexive_orc_fem.json,19,( 5.589199066162109 < 2.7124898433685303 ) & ( 8.609408378601074 < 9.552157402038574 )
EleutherAI/pythia-70m,fgd_pp.json,5,(13.997286081314087 > 14.082021355628967 ) & (7.404010117053986 < 8.850699305534363 ) 
EleutherAI/pythia-70m,fgd_pp.json,6,(14.191314935684204 > 14.411415696144104 ) & (19.091657996177673 < 18.656875610351562 ) 
EleutherAI/pythia-70m,fgd_pp.json,7,(4.9019200801849365 > 4.976313948631287 ) & (16.063888549804688 < 17.492310762405396 ) 
EleutherAI/pythia-70m,fgd_pp.json,8,(14.186292171478271 > 13.99798583984375 ) & (23.904370069503784 < 23.21766710281372 ) 
EleutherAI/pythia-70m,fgd_pp.json,12,(13.120115399360657 > 13.73868066072464 ) & (22.016969323158264 < 23.926663398742676 ) 
EleutherAI/pythia-70m,fgd_pp.json,15,(14.33201789855957 > 14.323338031768799 ) & (16.060719966888428 < 15.752619743347168 ) 
EleutherAI/pythia-70m,fgd_pp.json,17,(13.658030152320862 > 13.683708786964417 ) & (11.944344520568848 < 12.790933609008789 ) 
EleutherAI/pythia-70m,fgd_pp.json,21,(8.842361867427826 > 8.910112261772156 ) & (14.169682502746582 < 14.766195297241211 ) 
EleutherAI/pythia-70m,fgd_pp.json,23,(8.377638936042786 > 7.591752529144287 ) & (12.18703031539917 < 11.886524438858032 ) 
EleutherAI/pythia-70m,fgd_pp.json,24,(12.713702023029327 > 12.749040246009827 ) & (12.99652624130249 < 14.079899787902832 ) 
EleutherAI/pythia-70m,npi_orc_any.json,1,( 5.730647563934326 < 7.877734661102295 ) & ( 3.5893540382385254 < 2.3044190406799316 ) & ( 5.730647563934326 < 2.3044190406799316 )
EleutherAI/pythia-70m,npi_orc_any.json,2,( 6.471739292144775 < 8.152271270751953 ) & ( 4.401220321655273 < 3.9885053634643555 ) & ( 6.471739292144775 < 3.9885053634643555 )
EleutherAI/pythia-70m,npi_orc_any.json,3,( 6.8087358474731445 < 8.512989044189453 ) & ( 4.774594306945801 < 5.555777549743652 ) & ( 6.8087358474731445 < 5.555777549743652 )
EleutherAI/pythia-70m,npi_orc_any.json,4,( 5.6772141456604 < 7.806128025054932 ) & ( 4.386391639709473 < 2.7302393913269043 ) & ( 5.6772141456604 < 2.7302393913269043 )
EleutherAI/pythia-70m,npi_orc_any.json,5,( 5.7493815422058105 < 7.358250617980957 ) & ( 4.489346504211426 < 5.061046600341797 ) & ( 5.7493815422058105 < 5.061046600341797 )
EleutherAI/pythia-70m,npi_orc_any.json,6,( 5.541372299194336 < 7.235131740570068 ) & ( 3.8411507606506348 < 3.9960947036743164 ) & ( 5.541372299194336 < 3.9960947036743164 )
EleutherAI/pythia-70m,npi_orc_any.json,7,( 5.836681842803955 < 7.4998555183410645 ) & ( 3.8812522888183594 < 3.2452516555786133 ) & ( 5.836681842803955 < 3.2452516555786133 )
EleutherAI/pythia-70m,npi_orc_any.json,9,( 5.887640953063965 < 7.395884037017822 ) & ( 5.2316694259643555 < 5.6623334884643555 ) & ( 5.887640953063965 < 5.6623334884643555 )
EleutherAI/pythia-70m,npi_orc_any.json,11,( 6.592214107513428 < 7.800151824951172 ) & ( 4.612539291381836 < 3.9685282707214355 ) & ( 6.592214107513428 < 3.9685282707214355 )
EleutherAI/pythia-70m,npi_orc_any.json,12,( 5.8588151931762695 < 6.686591625213623 ) & ( 4.949667930603027 < 4.528186798095703 ) & ( 5.8588151931762695 < 4.528186798095703 )
EleutherAI/pythia-70m,npi_orc_any.json,13,( 5.57280969619751 < 7.589835166931152 ) & ( 3.568025827407837 < 3.550104856491089 ) & ( 5.57280969619751 < 3.550104856491089 )
EleutherAI/pythia-70m,npi_orc_any.json,15,( 6.005495071411133 < 7.43831729888916 ) & ( 4.876786231994629 < 5.461063861846924 ) & ( 6.005495071411133 < 5.461063861846924 )
EleutherAI/pythia-70m,npi_orc_any.json,16,( 5.143064498901367 < 6.03721809387207 ) & ( 4.606861114501953 < 4.373166561126709 ) & ( 5.143064498901367 < 4.373166561126709 )
EleutherAI/pythia-70m,npi_orc_any.json,17,( 6.961895942687988 < 8.251175880432129 ) & ( 5.805672645568848 < 6.131725311279297 ) & ( 6.961895942687988 < 6.131725311279297 )
EleutherAI/pythia-70m,npi_orc_any.json,18,( 4.421242713928223 < 5.346663475036621 ) & ( 4.278287887573242 < 4.413697719573975 ) & ( 4.421242713928223 < 4.413697719573975 )
EleutherAI/pythia-70m,npi_orc_any.json,19,( 4.961612701416016 < 6.179409980773926 ) & ( 4.482012748718262 < 4.4150848388671875 ) & ( 4.961612701416016 < 4.4150848388671875 )
EleutherAI/pythia-70m,npi_orc_any.json,20,( 5.244683742523193 < 7.094320297241211 ) & ( 4.0867018699646 < 4.570927619934082 ) & ( 5.244683742523193 < 4.570927619934082 )
EleutherAI/pythia-70m,npi_orc_any.json,21,( 6.788190841674805 < 7.940215110778809 ) & ( 5.5161943435668945 < 5.084395408630371 ) & ( 6.788190841674805 < 5.084395408630371 )
EleutherAI/pythia-70m,npi_orc_any.json,22,( 6.3881449699401855 < 7.529909133911133 ) & ( 5.681733131408691 < 6.382716655731201 ) & ( 6.3881449699401855 < 6.382716655731201 )
EleutherAI/pythia-70m,npi_orc_any.json,23,( 5.536670684814453 < 6.437262535095215 ) & ( 4.173249244689941 < 3.911881685256958 ) & ( 5.536670684814453 < 3.911881685256958 )
EleutherAI/pythia-70m,npi_orc_any.json,24,( 5.184946537017822 < 7.481627941131592 ) & ( 3.555814504623413 < 3.5117735862731934 ) & ( 5.184946537017822 < 3.5117735862731934 )
EleutherAI/pythia-70m,npi_orc_any.json,25,( 5.586409568786621 < 6.4906721115112305 ) & ( 4.22074556350708 < 3.9513115882873535 ) & ( 5.586409568786621 < 3.9513115882873535 )
EleutherAI/pythia-70m,npi_orc_any.json,26,( 4.871553421020508 < 6.4282026290893555 ) & ( 4.40500020980835 < 4.826844692230225 ) & ( 4.871553421020508 < 4.826844692230225 )
EleutherAI/pythia-70m,npi_orc_any.json,27,( 6.457169055938721 < 7.7328996658325195 ) & ( 5.693863391876221 < 6.43808126449585 ) & ( 6.457169055938721 < 6.43808126449585 )
EleutherAI/pythia-70m,npi_orc_any.json,28,( 5.304318428039551 < 6.195641994476318 ) & ( 4.518235206604004 < 4.98290491104126 ) & ( 5.304318428039551 < 4.98290491104126 )
EleutherAI/pythia-70m,npi_orc_any.json,29,( 4.697025299072266 < 5.663661003112793 ) & ( 4.147629261016846 < 4.258536338806152 ) & ( 4.697025299072266 < 4.258536338806152 )
EleutherAI/pythia-70m,npi_orc_any.json,30,( 6.212647438049316 < 7.269778251647949 ) & ( 5.367941856384277 < 5.2642035484313965 ) & ( 6.212647438049316 < 5.2642035484313965 )
EleutherAI/pythia-70m,npi_orc_any.json,31,( 6.171561241149902 < 6.7782158851623535 ) & ( 5.321755409240723 < 4.721146583557129 ) & ( 6.171561241149902 < 4.721146583557129 )
EleutherAI/pythia-70m,npi_orc_any.json,32,( 6.758772850036621 < 8.066561698913574 ) & ( 5.386792182922363 < 5.406991004943848 ) & ( 6.758772850036621 < 5.406991004943848 )
EleutherAI/pythia-70m,npi_orc_any.json,34,( 4.1814775466918945 < 6.111170768737793 ) & ( 3.125298023223877 < 3.5999138355255127 ) & ( 4.1814775466918945 < 3.5999138355255127 )
EleutherAI/pythia-70m,npi_orc_any.json,35,( 6.671310901641846 < 7.694066047668457 ) & ( 4.773562431335449 < 4.713294506072998 ) & ( 6.671310901641846 < 4.713294506072998 )
EleutherAI/pythia-70m,npi_orc_any.json,36,( 6.398667812347412 < 7.649017333984375 ) & ( 5.550453186035156 < 5.86259126663208 ) & ( 6.398667812347412 < 5.86259126663208 )
EleutherAI/pythia-70m,npi_orc_any.json,37,( 4.846828937530518 < 5.382866382598877 ) & ( 4.258152961730957 < 4.230445384979248 ) & ( 4.846828937530518 < 4.230445384979248 )
EleutherAI/pythia-160m,fgd_hierarchy.json,1,(12.495490670204163 >  13.357801914215088) & (12.254015326499939 <  16.31296133995056)
EleutherAI/pythia-160m,fgd_hierarchy.json,2,(8.110092163085938 >  7.669109106063843) & (10.611334919929504 <  10.563700079917908)
EleutherAI/pythia-160m,fgd_hierarchy.json,4,(8.511925101280212 >  8.647560834884644) & (10.618542581796646 <  15.935272455215454)
EleutherAI/pythia-160m,fgd_hierarchy.json,8,(11.373071193695068 >  11.778958320617676) & (11.964286804199219 <  12.373523235321045)
EleutherAI/pythia-160m,fgd_hierarchy.json,11,(8.406189441680908 >  8.42292869091034) & (10.079018592834473 <  11.852428436279297)
EleutherAI/pythia-160m,fgd_hierarchy.json,12,(10.116446852684021 >  11.946139991283417) & (9.3633394241333 <  9.696108043193817)
EleutherAI/pythia-160m,fgd_hierarchy.json,13,(10.263348817825317 >  10.271990716457367) & (12.82693412899971 <  12.80022919178009)
EleutherAI/pythia-160m,fgd_hierarchy.json,17,(8.33105719089508 >  7.650861620903015) & (10.399994850158691 <  9.885183215141296)
EleutherAI/pythia-160m,fgd_hierarchy.json,19,(9.226438403129578 >  9.751796185970306) & (9.42476886510849 <  11.609296560287476)
EleutherAI/pythia-160m,fgd_hierarchy.json,20,(8.546971321105957 >  8.571592330932617) & (9.406831741333008 <  12.427974700927734)
EleutherAI/pythia-160m,fgd_hierarchy.json,23,(14.130367040634155 >  14.734875857830048) & (15.974270462989807 <  20.213326573371887)
EleutherAI/pythia-160m,subordination_src-src.json,3,(6.016197204589844 > 6.206963062286377 ) & (23.062345266342163 < 25.6639267206192 )
EleutherAI/pythia-160m,subordination_src-src.json,9,(8.895916938781738 > 8.915431022644043 ) & (46.32653123140335 < 47.748402178287506 )
EleutherAI/pythia-160m,subordination_src-src.json,10,(9.157739639282227 > 9.351133346557617 ) & (27.533864378929138 < 31.477285385131836 )
EleutherAI/pythia-160m,subordination_src-src.json,21,(7.922158241271973 > 8.204482078552246 ) & (40.90515464544296 < 43.62563544511795 )
EleutherAI/pythia-160m,subordination_src-src.json,22,(6.535180568695068 > 6.799188613891602 ) & (26.871579088270664 < 30.505566462874413 )
EleutherAI/pythia-160m,subordination_src-src.json,23,(7.613497734069824 > 7.536049842834473 ) & (42.92021232843399 < 42.62675678730011 )
EleutherAI/pythia-160m,reflexive_src_fem.json,1,( 7.325318813323975 < 4.780519008636475 ) & ( 2.7801156044006348 < 6.163172245025635 )
EleutherAI/pythia-160m,reflexive_src_fem.json,2,( 7.7432403564453125 < 6.9470367431640625 ) & ( 4.3343424797058105 < 5.6649088859558105 )
EleutherAI/pythia-160m,reflexive_src_fem.json,3,( 7.089622974395752 < 6.551476001739502 ) & ( 5.124751091003418 < 6.828181266784668 )
EleutherAI/pythia-160m,reflexive_src_fem.json,4,( 5.71503210067749 < 4.56036901473999 ) & ( 5.357118606567383 < 6.524415969848633 )
EleutherAI/pythia-160m,reflexive_src_fem.json,5,( 5.160679817199707 < 3.681004524230957 ) & ( 5.295774459838867 < 7.289915084838867 )
EleutherAI/pythia-160m,reflexive_src_fem.json,6,( 8.40502643585205 < 6.710080146789551 ) & ( 1.3444437980651855 < 4.0375590324401855 )
EleutherAI/pythia-160m,reflexive_src_fem.json,7,( 8.634918212890625 < 6.857818126678467 ) & ( 1.860353708267212 < 4.100648880004883 )
EleutherAI/pythia-160m,reflexive_src_fem.json,8,( 6.8358917236328125 < 4.7351837158203125 ) & ( 7.009279251098633 < 7.537477493286133 )
EleutherAI/pythia-160m,reflexive_src_fem.json,9,( 9.811866760253906 < 7.934425354003906 ) & ( 8.133727073669434 < 9.203001976013184 )
EleutherAI/pythia-160m,reflexive_src_fem.json,10,( 6.332360744476318 < 5.846276760101318 ) & ( 3.6140706539154053 < 4.453914642333984 )
EleutherAI/pythia-160m,reflexive_src_fem.json,11,( 4.786584377288818 < 2.9449095726013184 ) & ( 5.849750518798828 < 7.389789581298828 )
EleutherAI/pythia-160m,reflexive_src_fem.json,12,( 3.901444911956787 < 3.591569423675537 ) & ( 6.315278053283691 < 7.744416236877441 )
EleutherAI/pythia-160m,reflexive_src_fem.json,13,( 8.456807136535645 < 6.318379878997803 ) & ( 1.7045950889587402 < 4.98285436630249 )
EleutherAI/pythia-160m,reflexive_src_fem.json,14,( 8.81086254119873 < 7.371043682098389 ) & ( 2.331270217895508 < 5.191804885864258 )
EleutherAI/pythia-160m,reflexive_src_fem.json,15,( 8.008957862854004 < 4.688034534454346 ) & ( 6.61044979095459 < 8.79148006439209 )
EleutherAI/pythia-160m,reflexive_src_fem.json,16,( 7.665093898773193 < 5.338250637054443 ) & ( 6.266949653625488 < 8.297101020812988 )
EleutherAI/pythia-160m,reflexive_src_fem.json,17,( 8.635680198669434 < 7.440429210662842 ) & ( 4.732527256011963 < 9.681745529174805 )
EleutherAI/pythia-160m,reflexive_src_fem.json,18,( 4.508508682250977 < 4.100305557250977 ) & ( 7.213260650634766 < 9.175968170166016 )
EleutherAI/pythia-160m,reflexive_src_fem.json,19,( 5.899203300476074 < 2.889132499694824 ) & ( 7.885988235473633 < 7.487611770629883 )
EleutherAI/pythia-160m,npz_obj_mod.json,22,(8.301822662353516 > 8.541373252868652 ) &  (8.301822662353516 > 8.20680046081543 ) & ((8.301822662353516 - 8.541373252868652 ) > (8.20680046081543 - 8.360774993896484 ))
EleutherAI/pythia-160m,npi_src_any.json,1,( 3.962472915649414 < 8.025960922241211 ) & ( 2.4357643127441406 < 2.401935577392578 ) & ( 3.962472915649414 < 2.401935577392578 )
EleutherAI/pythia-160m,npi_src_any.json,2,( 5.035994529724121 < 6.988099098205566 ) & ( 1.3406940698623657 < 1.2202739715576172 ) & ( 5.035994529724121 < 1.2202739715576172 )
EleutherAI/pythia-160m,npi_src_any.json,4,( 5.229589939117432 < 7.818144798278809 ) & ( 2.4213294982910156 < 2.400940418243408 ) & ( 5.229589939117432 < 2.400940418243408 )
EleutherAI/pythia-160m,npi_src_any.json,5,( 6.023066520690918 < 7.049529552459717 ) & ( 2.9667136669158936 < 3.622147560119629 ) & ( 6.023066520690918 < 3.622147560119629 )
EleutherAI/pythia-160m,npi_src_any.json,6,( 4.593127250671387 < 6.9727606773376465 ) & ( 3.2067270278930664 < 3.3525819778442383 ) & ( 4.593127250671387 < 3.3525819778442383 )
EleutherAI/pythia-160m,npi_src_any.json,7,( 5.547906398773193 < 7.9443159103393555 ) & ( 2.3435139656066895 < 1.8594591617584229 ) & ( 5.547906398773193 < 1.8594591617584229 )
EleutherAI/pythia-160m,npi_src_any.json,8,( 8.136626243591309 < 8.851776123046875 ) & ( 6.371275424957275 < 7.985393524169922 ) & ( 8.136626243591309 < 7.985393524169922 )
EleutherAI/pythia-160m,npi_src_any.json,9,( 7.411204814910889 < 8.43979263305664 ) & ( 3.3378169536590576 < 6.698268890380859 ) & ( 7.411204814910889 < 6.698268890380859 )
EleutherAI/pythia-160m,npi_src_any.json,11,( 6.038205146789551 < 7.837059020996094 ) & ( 3.9215996265411377 < 3.396644115447998 ) & ( 6.038205146789551 < 3.396644115447998 )
EleutherAI/pythia-160m,npi_src_any.json,12,( 6.475481986999512 < 7.580222129821777 ) & ( 4.502458572387695 < 5.6413493156433105 ) & ( 6.475481986999512 < 5.6413493156433105 )
EleutherAI/pythia-160m,npi_src_any.json,14,( 5.657966136932373 < 6.706120491027832 ) & ( 4.2801713943481445 < 4.074228286743164 ) & ( 5.657966136932373 < 4.074228286743164 )
EleutherAI/pythia-160m,npi_src_any.json,15,( 6.537790298461914 < 7.479506015777588 ) & ( 4.071732521057129 < 5.954405307769775 ) & ( 6.537790298461914 < 5.954405307769775 )
EleutherAI/pythia-160m,npi_src_any.json,16,( 5.641244411468506 < 6.748733043670654 ) & ( 3.498051643371582 < 4.304988861083984 ) & ( 5.641244411468506 < 4.304988861083984 )
EleutherAI/pythia-160m,npi_src_any.json,17,( 7.802303791046143 < 9.09432315826416 ) & ( 4.323592662811279 < 5.65200662612915 ) & ( 7.802303791046143 < 5.65200662612915 )
EleutherAI/pythia-160m,npi_src_any.json,18,( 5.714643478393555 < 6.90244722366333 ) & ( 3.4152991771698 < 5.50358772277832 ) & ( 5.714643478393555 < 5.50358772277832 )
EleutherAI/pythia-160m,npi_src_any.json,19,( 7.28746223449707 < 8.08424186706543 ) & ( 4.309395790100098 < 5.208972930908203 ) & ( 7.28746223449707 < 5.208972930908203 )
EleutherAI/pythia-160m,npi_src_any.json,20,( 5.560547351837158 < 8.836880683898926 ) & ( 4.004979610443115 < 4.571324825286865 ) & ( 5.560547351837158 < 4.571324825286865 )
EleutherAI/pythia-160m,npi_src_any.json,21,( 6.897263526916504 < 8.73859977722168 ) & ( 3.8251874446868896 < 4.946671485900879 ) & ( 6.897263526916504 < 4.946671485900879 )
EleutherAI/pythia-160m,npi_src_any.json,22,( 8.795022964477539 < 9.204278945922852 ) & ( 7.178736209869385 < 8.233104705810547 ) & ( 8.795022964477539 < 8.233104705810547 )
EleutherAI/pythia-160m,npi_src_any.json,23,( 6.340731620788574 < 7.744443416595459 ) & ( 3.075596570968628 < 6.074611663818359 ) & ( 6.340731620788574 < 6.074611663818359 )
EleutherAI/pythia-160m,npi_src_any.json,24,( 4.981288433074951 < 8.150411605834961 ) & ( 2.200037956237793 < 4.687265872955322 ) & ( 4.981288433074951 < 4.687265872955322 )
